SPK10a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.133350	13.677900	128.746000	26.179000	13.677900	46.197900	36.199000	28.680000	28.680000	23.683900	43.696000	11.281000	11.281000	38.700000	16.180000	33.697000	16.180000	41.194900	21.183000	111.229000	21.183000	11.281000
0.153725	18.680900	171.257000	101.230000	18.680900	91.231000	96.227000	48.699000	36.199000	51.200000	61.212900	83.725900	23.683900	93.710900	53.694900	113.730000	33.697000	108.727000	78.716900	133.742000	41.194900	13.677900
0.285275	81.210900	181.277000	168.762000	26.179000	403.908000	296.337000	63.715000	46.197900	88.728900	76.215000	121.248000	43.696000	131.247000	143.762000	153.761000	38.700000	148.744000	116.246000	178.775000	78.716900	16.180000
0.633975	106.226000	266.327000	176.274000	81.210900	491.452000	306.343000	183.778000	48.699000	98.728000	86.213900	156.262000	51.200000	236.309000	151.259000	228.791000	53.694900	218.792000	158.764000	248.809000	108.727000	18.680900
0.823825	261.324000	298.839000	321.359000	101.230000	609.014000	378.886000	393.902000	63.715000	216.290000	313.855000	173.758000	61.212900	426.421000	286.338000	323.854000	93.710900	276.326000	233.808000	273.824000	111.229000	21.183000
1.283200	291.341000	363.891000	326.355000	106.226000	646.550000	381.387000	413.906000	91.231000	231.306000	328.856000	241.312000	76.215000	451.435000	303.842000	331.358000	113.730000	293.843000	268.828000	283.844000	116.246000	23.683900
1.307425	301.340000	416.408000	351.370000	128.746000	656.549000	383.889000	443.924000	96.227000	288.840000	338.876000	308.838000	83.725900	513.965000	343.872000	358.874000	131.247000	311.339000	341.357000	376.391000	133.742000	26.179000
1.349425	316.356000	478.952000	353.871000	168.762000	689.082000	551.487000	461.434000	183.778000	396.403000	356.373000	348.875000	86.213900	533.984000	386.390000	418.923000	143.762000	373.890000	361.376000	408.904000	148.744000	28.680000
1.440150	318.858000	556.483000	431.424000	171.257000	691.583000	564.002000	526.486000	296.337000	441.423000	391.407000	366.385000	88.728900	541.481000	388.885000	428.922000	151.259000	433.918000	488.951000	421.418000	158.764000	33.697000
1.845575	333.859000	596.514000	493.953000	176.274000	809.146000	566.503000	543.983000	306.343000	448.920000	398.905000	458.940000	98.728000	591.518000	406.402000	436.420000	153.761000	571.499000	501.472000	446.419000	178.775000	36.199000
1.902100	423.919000	674.066000	931.725000	181.277000	811.640000	794.130000	548.986000	378.886000	473.956000	684.079000	508.969000	121.248000	659.050000	516.467000	453.937000	228.791000	614.031000	531.482000	468.939000	218.792000	38.700000
2.295750	438.921000	929.223000	959.227000	261.324000	866.672000	964.237000	558.999000	381.387000	538.987000	961.721000	546.484000	156.262000	694.078000	621.535000	483.955000	236.309000	941.724000	581.498000	471.433000	233.808000	41.194900
2.351950	466.437000	984.255000	1101.820000	266.327000	949.221000	1179.930000	666.562000	383.889000	553.982000	1472.590000	606.520000	173.758000	1237.470000	661.566000	616.532000	286.338000	976.737000	771.631000	476.450000	248.809000	43.696000
2.673325	594.019000	994.254000	1470.090000	291.341000	951.722000	1440.080000	759.109000	393.902000	751.612000	1482.610000	814.142000	216.290000	1555.160000	741.613000	631.548000	303.842000	991.753000	796.645000	486.456000	268.828000	46.197900
2.735775	636.551000	1004.250000	1495.110000	298.839000	999.257000	1450.080000	1071.810000	403.908000	816.643000	1500.110000	914.207000	231.306000		869.195000	774.125000	323.854000	1014.250000	944.225000	511.471000	273.824000	48.699000
3.120225	664.067000	1006.770000	1497.610000	301.340000	1009.270000	1522.630000	1480.110000	413.906000	1019.270000		921.726000	241.312000		939.222000	1177.430000	331.358000	1099.320000	946.726000	624.030000	276.326000	51.200000
4.018500	864.178000	1066.800000		316.356000	1069.300000	1710.240000	1557.650000	443.924000	1059.290000		954.224000	288.840000		986.736000	1297.490000	343.872000	1437.580000	969.240000	1124.340000	283.844000	53.694900
4.061450	956.725000	1410.060000		318.858000	1284.990000			461.434000	1375.050000		1300.000000	308.838000		1011.770000	1475.110000	358.874000	1455.090000	996.756000	1345.030000	293.843000	61.212900
4.242700	1162.420000	1442.580000		321.359000				491.452000	1432.570000		1452.590000	313.855000		1116.820000	1502.620000	386.390000	1517.620000	1096.820000	1520.130000	311.339000	63.715000
5.184675	1249.970000	1507.620000		326.355000				526.486000	1617.690000		1510.130000	328.856000		1430.080000		388.885000		1335.010000	1552.640000	341.357000	76.215000
5.205025	1435.080000	1515.120000		333.859000				543.983000				338.876000		1447.600000		406.402000		1412.560000	1620.190000	361.376000	78.716900
5.216425	1445.100000	1560.160000		351.370000				548.986000				348.875000				418.923000		1505.120000		373.890000	81.210900
5.366825	1477.610000			353.871000				551.487000				356.373000				426.421000				376.391000	83.725900
5.430425	1512.630000			363.891000				558.999000				366.385000				428.922000				408.904000	86.213900
5.772900				416.408000				564.002000				391.407000				436.420000				421.418000	88.728900
5.807925				423.919000				566.503000				396.403000				451.435000				433.918000	91.231000
5.994700				431.424000				609.014000				398.905000				453.937000				446.419000	93.710900
6.017375				438.921000				646.550000				441.423000				483.955000				468.939000	96.227000
6.031025				466.437000				656.549000				448.920000				513.965000				471.433000	98.728000
6.055200				478.952000				666.562000				458.940000				516.467000				476.450000	101.230000
6.247125				493.953000				689.082000				473.956000				533.984000				486.456000	106.226000
6.525475				556.483000				691.583000				508.969000				541.481000				488.951000	108.727000
6.797925				594.019000				759.109000				538.987000				591.518000				501.472000	111.229000
7.091000				596.514000				794.130000				546.484000				616.532000				511.471000	113.730000
8.225850				636.551000				809.146000				553.982000				621.535000				531.482000	116.246000
8.237875				664.067000				811.640000				606.520000				631.548000				571.499000	121.248000
8.268950				674.066000				866.672000				684.079000				659.050000				581.498000	128.746000
8.286325				864.178000				949.221000				751.612000				661.566000				614.031000	131.247000
8.743900				929.223000				951.722000				814.142000				694.078000				624.030000	133.742000
8.843950				931.725000				964.237000				816.643000				741.613000				771.631000	143.762000
9.026450				956.725000				999.257000				914.207000				774.125000				796.645000	148.744000
9.043875				959.227000				1009.270000				921.726000				869.195000				941.724000	151.259000
9.073475				984.255000				1069.300000				954.224000				939.222000				944.225000	153.761000
9.117275				994.254000				1071.810000				961.721000				986.736000				946.726000	156.262000
9.183600				1004.250000				1179.930000				1019.270000				1011.770000				969.240000	158.764000
9.296375				1006.770000				1284.990000				1059.290000				1116.820000				976.737000	168.762000
9.586950				1066.800000				1440.080000				1300.000000				1177.430000				991.753000	171.257000
10.644550				1101.820000				1450.080000				1375.050000				1237.470000				996.756000	173.758000
10.845050				1162.420000				1480.110000				1432.570000				1297.490000				1014.250000	176.274000
11.436025				1249.970000				1522.630000				1452.590000				1430.080000				1096.820000	178.775000
11.476475				1410.060000				1557.650000				1472.590000				1447.600000				1099.320000	181.277000
11.482550				1435.080000				1710.240000				1482.610000				1475.110000				1124.340000	183.778000
11.566975				1442.580000								1500.110000				1502.620000				1335.010000	216.290000
11.594475				1445.100000								1510.130000				1555.160000				1345.030000	218.792000
11.665350				1470.090000								1617.690000								1412.560000	228.791000
11.694575				1477.610000																1437.580000	231.306000
11.735025				1495.110000																1455.090000	233.808000
11.765600				1497.610000																1505.120000	236.309000
11.778425				1507.620000																1517.620000	241.312000
11.940100				1512.630000																1520.130000	248.809000
11.962575				1515.120000																1552.640000	261.324000
12.030125				1560.160000																1620.190000	266.327000
12.057400																					268.828000
12.085225																					273.824000
12.206200																					276.326000
12.263800																					283.844000
13.166275																					286.338000
13.180825																					288.840000
13.204125																					291.341000
13.309950																					293.843000
13.765200																					296.337000
14.225700																					298.839000
14.822250																					301.340000
15.169500																					303.842000
15.481025																					306.343000
15.872175																					308.838000
16.471150																					311.339000
17.176200																					313.855000
17.494675																					316.356000
17.516350																					318.858000
17.557225																					321.359000
17.963650																					323.854000
18.065350																					326.355000
18.141500																					328.856000
18.618800																					331.358000
18.895425																					333.859000
19.154000																					338.876000
19.318025																					341.357000
19.345550																					343.872000
19.718050																					348.875000
19.833050																					351.370000
20.021900																					353.871000
20.385900																					356.373000
20.395125																					358.874000
20.430025																					361.376000
20.795850																					363.891000
21.126525																					366.385000
21.226775																					373.890000
21.244700																					376.391000
21.248625																					378.886000
21.580950																					381.387000
21.767125																					383.889000
22.243300																					386.390000
22.514625																					388.885000
22.554075																					391.407000
22.990625																					393.902000
23.103500																					396.403000
23.108600																					398.905000
23.111300																					403.908000
23.342075																					406.402000
23.656400																					408.904000
24.135025																					413.906000
24.161775																					416.408000
24.309275																					418.923000
24.717250																					421.418000
24.903025																					423.919000
24.935325																					426.421000
24.940600																					428.922000
25.487000																					431.424000
25.515400																					433.918000
25.549875																					436.420000
25.913125																					438.921000
25.967775																					441.423000
26.164750																					443.924000
26.252725																					446.419000
26.559450																					448.920000
26.563000																					451.435000
26.572050																					453.937000
26.852350																					458.940000
26.864475																					461.434000
26.868225																					466.437000
26.873075																					468.939000
27.271975																					471.433000
27.590800																					473.956000
28.022025																					476.450000
28.301325																					478.952000
28.338525																					483.955000
28.379900																					486.456000
28.382950																					488.951000
28.470325																					491.452000
29.376100																					493.953000
29.403425																					501.472000
29.639075																					508.969000
29.645900																					511.471000
29.686725																					513.965000
29.793275																					516.467000
29.812575																					526.486000
29.816375																					531.482000
30.097575																					533.984000
30.121425																					538.987000
30.158875																					541.481000
31.151550																					543.983000
31.191650																					546.484000
32.045025																					548.986000
32.064700																					551.487000
32.512550																					553.982000
32.526400																					556.483000
32.825775																					558.999000
33.147500																					564.002000
33.180725																					566.503000
33.605075																					571.499000
33.771500																					581.498000
34.303250																					591.518000
34.607300																					594.019000
34.638600																					596.514000
34.663650																					606.520000
34.684175																					609.014000
34.700325																					614.031000
35.491650																					616.532000
35.496300																					621.535000
35.501425																					624.030000
35.750075																					631.548000
35.777350																					636.551000
35.792475																					646.550000
36.522175																					656.549000
36.537075																					659.050000
36.555400																					661.566000
36.559075																					664.067000
36.565425																					666.562000
36.902775																					674.066000
37.219400																					684.079000
37.332050																					689.082000
37.436825																					691.583000
37.451600																					694.078000
37.484750																					741.613000
38.065625																					751.612000
38.579600																					759.109000
38.736500																					771.631000
39.143300																					774.125000
39.279500																					794.130000
39.628850																					796.645000
40.120700																					809.146000
40.124875																					811.640000
40.794550																					814.142000
41.011125																					816.643000
41.343200																					864.178000
41.423300																					866.672000
41.506950																					869.195000
41.656625																					914.207000
41.766425																					921.726000
41.890175																					929.223000
41.976000																					931.725000
42.098375																					939.222000
42.461050																					941.724000
42.466650																					944.225000
42.491200																					946.726000
42.501250																					949.221000
42.523025																					951.722000
42.687600																					954.224000
42.870475																					956.725000
42.896175																					959.227000
42.938050																					961.721000
43.053050																					964.237000
43.255700																					969.240000
44.250150																					976.737000
44.302800																					984.255000
44.364075																					986.736000
44.475100																					991.753000
44.611725																					994.254000
44.821525																					996.756000
44.948850																					999.257000
44.991325																					1004.250000
45.032325																					1006.770000
45.505850																					1009.270000
46.504125																					1011.770000
46.675525																					1014.250000
46.798200																					1019.270000
46.838900																					1059.290000
46.877000																					1066.800000
46.919550																					1069.300000
46.933475																					1071.810000
46.954150																					1096.820000
47.322150																					1099.320000
48.158250																					1101.820000
48.228350																					1116.820000
48.403550																					1124.340000
48.922275																					1162.420000
49.144025																					1177.430000
49.189225																					1179.930000
49.311525																					1237.470000
49.362075																					1249.970000
49.396700																					1284.990000
49.440900																					1297.490000
49.929525																					1300.000000
50.089575																					1335.010000
50.102500																					1345.030000
50.129325																					1375.050000
50.136575																					1410.060000
50.463200																					1412.560000
50.483000																					1430.080000
50.496300																					1432.570000
50.507275																					1435.080000
50.515500																					1437.580000
50.721500																					1440.080000
50.779375																					1442.580000
51.084650																					1445.100000
52.086425																					1447.600000
52.098875																					1450.080000
52.379900																					1452.590000
52.596975																					1455.090000
52.663275																					1470.090000
53.254700																					1472.590000
53.355875																					1475.110000
53.633450																					1477.610000
53.692700																					1480.110000
53.979900																					1482.610000
54.044725																					1495.110000
54.647950																					1497.610000
55.227850																					1500.110000
55.450650																					1502.620000
55.590775																					1505.120000
55.704750																					1507.620000
55.710125																					1510.130000
55.717575																					1512.630000
55.756125																					1515.120000
55.803700																					1517.620000
55.819475																					1520.130000
55.825400																					1522.630000
55.843200																					1552.640000
55.891225																					1555.160000
55.926575																					1557.650000
55.928200																					1560.160000
55.935075																					1617.690000
55.994925																					1620.190000
56.048575																					1710.240000
56.065875																					
56.532825																					
56.757600																					
57.434875																					
57.717125																					
57.822200																					
57.884150																					
58.012575																					
58.086625																					
58.292600																					
58.554725																					
58.589100																					
58.668275																					
58.808625																					
58.844725																					
58.881550																					
59.076875																					
59.445100																					
59.968350																					
60.063950																					
60.900225																					
61.569025																					
62.237600																					
62.252475																					
62.281275																					
62.302375																					
62.403125																					
62.471500																					
62.507325																					
62.541325																					
62.550000																					
62.552900																					
62.591675																					
62.606500																					
62.646075																					
62.652650																					
62.668575																					
63.013950																					
63.111925																					
63.219425																					
63.242375																					
63.307300																					
63.373800																					
63.390075																					
63.416075																					
63.425350																					
63.445200																					
63.446775																					
63.878150																					
63.915600																					
63.958025																					
63.995800																					
64.387450																					
64.552100																					
64.600975																					
64.608575																					
64.695675																					
64.750850																					
64.770025																					
64.884975																					
64.964475																					
64.975600																					
64.985825																					
64.989600																					
65.023250																					
65.407600																					
65.427000																					
65.844625																					
65.978475																					
66.073075																					
66.091200																					
66.125750																					
66.249300																					
66.259125																					
66.324100																					
66.355400																					
66.370400																					
66.382225																					
66.614800																					
67.027325																					
67.041075																					
67.061175																					
67.091550																					
67.099525																					
67.129175																					
67.194425																					
67.236250																					
67.277725																					
67.596450																					
67.647325																					
68.078000																					
68.458500																					
68.463275																					
69.095525																					
69.243475																					
69.288050																					
69.343475																					
69.366925																					
69.505800																					
69.520550																					
69.618250																					
70.354875																					
70.425175																					
70.429100																					
70.442575																					
71.098500																					
71.866700																					
71.889125																					
71.908100																					
71.967900																					
72.041450																					
72.071900																					
72.966700																					
73.216575																					
73.302900																					
73.432975																					
73.595275																					
73.658675																					
73.675175																					
73.698975																					
73.721425																					
73.728425																					
73.749925																					
73.766675																					
73.790625																					
73.876025																					
73.910625																					
74.004400																					
74.021925																					
74.050900																					
74.064025																					
74.076675																					
74.089075																					
74.096525																					
74.115125																					
74.199225																					
74.241900																					
74.273250																					
74.300625																					
74.357175																					
74.714175																					
74.762800																					
74.785900																					
74.811850																					
74.876250																					
74.892625																					
74.909925																					
74.943575																					
75.005675																					
75.031325																					
75.062825																					
75.683950																					
75.700400																					
76.191575																					
76.212450																					
76.690625																					
76.935025																					
77.015475																					
77.044575																					
77.182500																					
77.450175																					
77.594350																					
77.693725																					
77.779275																					
78.057875																					
78.355025																					
78.668225																					
79.172825																					
79.643025																					
79.698950																					
80.039275																					
