SPK01b	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.108775	11.799300	126.860000	174.394000	11.799300	44.311300	34.312300	61.828300	34.312300	21.798300	29.316300	64.330300	21.798300	36.814300	141.875000	31.818300	31.818300	39.315300	76.830300	109.363000	39.315300	11.799300
0.129600	16.802300	161.880000	269.443000	16.802300	89.344300	66.831300	101.845000	44.311300	86.843300	41.817300	69.333300	29.316300	54.331300	284.438000	111.844000	36.814300	146.878000	114.345000	131.862000	76.830300	16.802300
0.257450	79.346300	264.426000	351.971000	79.346300	116.861000	94.347300	224.410000	61.828300	96.849300	74.329300	119.362000	41.817300	91.846300	301.942000	136.865000	54.331300	249.425000	156.877000	186.909000	109.363000	21.798300
0.471675	164.395000	361.991000	429.524000	126.860000	139.360000	121.864000	334.475000	66.831300	214.411000	84.348300	154.376000	64.330300	159.379000	384.504000	144.377000	91.846300	279.442000	359.489000	209.408000	114.345000	29.316300
0.562550	276.941000	527.088000	599.631000	161.880000	402.007000	304.457000	412.020000	89.344300	787.227000	397.004000	171.893000	69.333300	234.423000	404.523000	226.911000	111.844000	309.460000	669.665000	281.944000	131.862000	31.818300
0.670550	316.957000	554.604000	697.181000	164.395000	519.583000	381.989000	524.586000	94.347300	814.743000	682.165000	184.393000	74.329300	424.521000	619.635000	356.988000	136.865000	432.018000	694.679000	374.491000	146.878000	34.312300
1.060350	366.987000	594.614000	777.228000	174.394000	624.652000	399.506000	542.083000	101.845000	842.259000	852.279000	261.925000	84.348300	539.602000	739.713000	427.022000	141.875000	569.620000	769.731000	509.571000	156.877000	36.814300
1.210100	559.600000	667.163000	847.262000	264.426000	644.650000	517.068000	547.100000	116.861000	872.277000	892.289000	544.598000	86.843300	589.618000	817.245000	597.136000	144.377000	612.131000	894.790000	572.100000	186.909000	39.315300
1.640000	592.119000	887.293000	957.327000	269.443000	679.664000	574.616000	557.099000	121.864000	879.774000	959.842000	577.117000	96.849300	627.147000	827.244000	629.648000	159.379000	677.183000	942.325000	719.694000	209.408000	41.817300
1.689075	609.629000	899.793000	1099.920000	276.941000	714.698000	779.729000	649.667000	139.360000	999.859000	1124.940000	642.149000	119.362000	774.727000	849.764000	987.359000	226.911000	782.231000	944.827000	784.725000	249.425000	44.311300
1.809275	634.651000	992.341000	1129.940000	316.957000	807.246000	877.294000	674.682000	224.410000	1017.370000	1262.320000	812.242000	154.376000	834.762000	984.843000	1044.890000	234.423000	989.853000	994.856000	822.241000	279.442000	54.331300
2.075700	824.763000	1002.350000	1287.310000	351.971000	809.747000	884.791000	832.260000	304.457000	1052.390000	1272.320000	882.276000	171.893000	897.292000	1104.920000	1047.390000	284.438000	1227.300000	1112.420000	874.792000	281.944000	61.828300
2.112900	862.278000	1004.860000	1354.870000	361.991000	844.761000	962.337000	1234.800000	334.475000	1237.300000	1439.910000	889.794000	184.393000	1042.370000	1114.920000	1049.890000	301.942000	1294.830000	1264.810000	1122.420000	309.460000	64.330300
2.145950	954.826000	1054.880000	1362.360000	366.987000	997.357000	1014.880000	1289.840000	381.989000	1274.810000	1442.410000	1077.410000	214.411000	1224.800000	1119.920000	1074.890000	356.988000	1334.850000	1302.330000	1297.330000	359.489000	66.831300
2.168625	1089.910000	1109.920000	1407.400000	429.524000	1007.360000	1079.910000	1412.390000	399.506000	1284.820000	1499.950000	1107.420000	261.925000	1242.300000	1239.800000	1092.410000	384.504000	1404.900000	1322.350000	1319.850000	374.491000	69.333300
2.214350	1267.320000	1259.820000	1512.450000	527.088000	1232.300000	1087.400000	1522.460000	402.007000	1399.890000	1514.960000	1252.300000	397.004000	1317.350000	1312.330000	1299.830000	404.523000	1437.410000	1344.850000	1364.870000	432.018000	74.329300
2.354825	1292.320000	1314.850000	1537.470000	554.604000	1304.830000	1132.440000	1630.020000	412.020000	1402.390000	1524.960000	1257.300000	544.598000	1347.360000	1337.350000	1324.850000	424.521000	1479.930000	1419.900000	1374.880000	509.571000	76.830300
2.402025	1447.410000	1357.360000	1539.980000	559.600000	1590.000000	1244.800000	1647.520000	517.068000	1417.400000	1542.480000	1342.370000	577.117000	1409.890000	1529.980000	1332.350000	427.022000	1497.440000	1527.460000	1434.910000	569.620000	79.346300
2.671125	1487.440000	1484.940000	1617.520000	592.119000	1677.540000	1254.810000		519.583000	1424.910000		1359.860000	642.149000	1422.410000	1592.490000	1339.860000	539.602000	1559.970000	1547.470000	1444.910000	572.100000	84.348300
2.712825	1502.460000	1549.970000		594.614000		1309.830000		524.586000	1532.460000		1372.380000	682.165000	1597.510000		1414.900000	589.618000	1620.020000	1675.050000	1595.010000	612.131000	86.843300
3.159375	1504.960000	1557.480000		599.631000		1482.430000		542.083000	1627.520000		1494.940000	787.227000	1612.500000		1544.980000	597.136000	1650.040000		1632.520000	669.665000	89.344300
3.193700	1554.980000	1642.520000		609.629000		1667.540000		547.100000	1635.020000		1534.970000	812.242000	1637.530000		1605.010000	619.635000			1655.040000	677.183000	91.846300
3.596525	1625.030000	1665.040000		634.651000				557.099000	1660.040000		1552.480000	814.743000			1615.030000	627.147000			1657.540000	694.679000	94.347300
3.636575	1652.540000			667.163000				574.616000			1645.040000	842.259000			1622.520000	629.648000			1662.540000	719.694000	96.849300
3.659200				697.181000				624.652000				852.279000			1640.020000	739.713000			1672.550000	769.731000	101.845000
3.744500				777.228000				644.650000				872.277000			1670.060000	774.727000				782.231000	109.363000
3.783175				824.763000				649.667000				879.774000				817.245000				784.725000	111.844000
3.839375				847.262000				674.682000				882.276000				827.244000				822.241000	114.345000
3.893650				862.278000				679.664000				889.794000				834.762000				874.792000	116.861000
3.918800				887.293000				714.698000				892.289000				849.764000				894.790000	119.362000
4.273775				899.793000				779.729000				959.842000				897.292000				942.325000	121.864000
4.316450				954.826000				807.246000				999.859000				984.843000				944.827000	126.860000
4.351350				957.327000				809.747000				1017.370000				987.359000				989.853000	131.862000
4.659625				992.341000				832.260000				1052.390000				1042.370000				994.856000	136.865000
4.700700				1002.350000				844.761000				1077.410000				1044.890000				1112.420000	139.360000
4.750850				1004.860000				877.294000				1107.420000				1047.390000				1122.420000	141.875000
4.814300				1054.880000				884.791000				1124.940000				1049.890000				1227.300000	144.377000
4.963800				1089.910000				962.337000				1237.300000				1074.890000				1264.810000	146.878000
5.052050				1099.920000				997.357000				1252.300000				1092.410000				1294.830000	154.376000
5.373300				1109.920000				1007.360000				1257.300000				1104.920000				1297.330000	156.877000
5.398625				1129.940000				1014.880000				1262.320000				1114.920000				1302.330000	159.379000
