SPK09a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.282400	13.314900	73.349900	100.866000	13.314900	45.833800	35.834900	48.334900	35.834900	23.320900	43.331900	65.852900	23.320900	38.335900	15.815800	138.381000	15.815800	40.830800	20.818900	178.398000	20.818900	13.314900
0.807475	105.862000	128.382000	168.399000	73.349900	118.363000	58.333800	63.336800	45.833800	215.962000	60.849900	83.348800	43.331900	130.884000	386.027000	145.900000	38.335900	203.447000	115.868000	188.411000	40.830800	15.815800
2.131825	165.911000	298.461000	243.443000	100.866000	403.523000	95.862800	225.947000	48.334900	230.963000	208.429000	173.395000	60.849900	235.959000	388.528000	153.397000	130.884000	250.947000	135.880000	248.446000	115.868000	20.818900
2.317425	260.946000	363.507000	270.959000	105.862000	491.089000	123.379000	245.944000	58.333800	238.447000	338.492000	185.916000	65.852900	426.057000	406.039000	228.448000	138.381000	280.958000	158.400000	273.461000	135.880000	23.320900
2.350950	290.964000	371.011000	325.978000	128.382000	503.589000	295.974000	335.990000	63.336800	288.463000	586.138000	240.962000	83.348800	451.093000	536.122000	323.490000	145.900000	310.976000	190.912000	376.007000	158.400000	35.834900
2.365700	300.977000	456.054000	431.060000	165.911000	521.106000	305.980000	393.524000	95.862800	346.010000	683.702000	348.512000	173.395000	498.586000	621.200000	330.994000	153.397000	373.506000	268.444000	421.040000	178.398000	38.335900
2.426425	318.494000	528.604000	601.153000	168.399000	608.651000	381.024000	443.575000	118.363000	473.571000	701.219000	508.585000	185.916000	513.588000	818.760000	418.539000	228.448000	433.576000	340.993000	476.073000	188.411000	40.830800
2.554150	333.496000	556.120000	698.718000	243.443000	626.203000	383.511000	526.102000	123.379000	538.603000	746.232000	606.149000	208.429000	523.608000	828.780000	428.538000	235.959000	571.122000	361.012000	511.107000	190.912000	43.331900
2.658175	368.510000	668.700000	748.747000	260.946000	716.214000	481.069000	548.622000	225.947000	713.699000	803.766000	813.764000	215.962000	533.607000	851.294000	436.105000	323.490000	678.685000	501.088000	603.655000	203.447000	45.833800
3.200700	561.123000	673.717000	761.234000	270.959000	806.267000	551.124000	558.621000	245.944000	751.235000	853.795000	891.310000	230.963000	541.118000	938.859000	453.574000	330.994000	718.716000	531.105000	623.653000	248.446000	48.334900
3.221550	568.620000	831.282000	778.751000	290.964000	811.263000	563.617000	651.218000	295.974000	791.279000	961.358000	913.809000	238.447000	658.687000	981.377000	483.591000	386.027000	783.747000	648.667000	723.732000	250.947000	58.333800
