SPK04a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
1000.019825	1028.290000	1003.270000	1083.320000	1003.270000	1068.320000	1015.790000	1063.320000	1015.790000	1000.770000	1025.790000	1078.320000	1000.770000	1043.280000	1033.280000	1045.810000	1033.280000	1020.780000	1095.830000	1123.350000	1020.780000	1000.770000
1000.536750	1040.800000	1247.470000	1100.840000	1028.290000	1292.480000	1080.820000	1237.470000	1063.320000	1018.290000	1060.800000	1239.960000	1018.290000	1085.840000	1105.830000	1048.300000	1043.280000	1214.950000	1128.350000	1284.980000	1095.830000	1003.270000
1000.557250	1090.820000	1302.500000	1130.850000	1040.800000	1367.530000	1088.340000	1357.510000	1068.320000	1053.300000	1125.850000	1244.960000	1025.790000	1118.330000	1120.850000	1050.800000	1045.810000	1282.480000	1194.950000	1362.510000	1123.350000	1015.790000
1000.611225	1187.430000	1337.510000	1199.950000	1083.320000	1577.650000	1133.350000	1420.060000	1080.820000	1058.310000	1234.960000	1257.460000	1053.300000	1212.440000	1189.930000	1075.820000	1048.300000	1322.510000	1290.000000	1422.560000	1128.350000	1018.290000
1000.621825	1192.430000	1345.010000	1350.010000	1090.820000	1665.200000	1209.950000	1510.110000	1088.340000	1412.560000	1427.560000	1347.510000	1058.310000	1600.170000	1300.000000	1093.330000	1050.800000	1425.060000	1365.030000	1550.120000	1194.950000	1020.780000
1000.685925	1254.980000	1545.140000	1395.050000	1100.840000	1677.700000	1242.460000	1635.190000	1133.350000	1462.580000	1487.590000	1415.060000	1060.800000	1625.170000	1460.080000	1312.500000	1075.820000	1450.080000	1515.110000	1595.160000	1214.950000	1025.790000
1000.716200	1435.080000	1590.150000	1495.100000	1130.850000	1830.300000	1552.640000	1700.220000	1209.950000	1570.150000	1502.610000	1437.580000	1078.320000	1687.700000	1477.570000	1320.010000	1085.840000	1455.070000	1535.120000	1620.170000	1282.480000	1028.290000
1000.863875	1452.570000	1630.190000	1527.620000	1187.430000	1855.320000	1555.140000	1717.730000	1237.470000	1622.670000	1512.610000	1522.620000	1125.850000	1697.720000	1517.610000	1497.610000	1093.330000	1607.670000	1662.700000	1660.200000	1284.980000	1033.280000
1001.297475	1475.090000	1730.240000	1605.170000	1192.430000	1862.810000	1575.160000	1732.740000	1242.460000	1647.690000	1565.140000	1632.680000	1234.960000	1715.230000	1562.640000	1505.110000	1105.830000	1637.690000	1675.200000	1747.750000	1290.000000	1040.800000
1001.371775	1490.090000	1757.750000	1667.710000	1199.950000	1865.310000	1692.720000	1827.800000	1292.480000	1727.730000	1572.640000	1682.700000	1239.960000	1765.270000	1680.220000	1592.650000	1118.330000	1670.200000	1755.250000	1997.890000	1322.510000	1043.280000
1002.540775	1492.590000	1770.270000	1762.750000	1247.470000	1882.830000	1725.230000	1840.300000	1357.510000	1887.830000	1760.250000	1817.800000	1244.960000	1867.820000	1690.220000	1602.670000	1120.850000	1745.250000	1845.300000	2050.420000	1362.510000	1045.810000
1002.555150	1507.600000	1842.820000	1775.270000	1254.980000	1985.390000	1737.730000	1850.310000	1367.530000	1907.850000	1857.820000	1942.860000	1257.460000	2010.390000	1835.300000	1610.170000	1189.930000	1815.300000	1870.310000	2077.940000	1365.030000	1048.300000
1002.562875	1597.660000	1847.800000	1872.830000	1302.500000	2040.420000	1750.250000	1900.330000	1420.060000	1990.400000	1875.330000	1987.890000	1347.510000	2082.940000	1992.900000	1627.690000	1212.440000	1852.810000	1945.360000	2298.070000	1422.560000	1050.800000
1002.774425	1640.190000	2005.400000	1930.360000	1337.510000	2125.460000	1877.820000	1927.840000	1510.110000	2017.890000	1912.850000	2057.930000	1412.560000	2147.970000	2002.900000	1772.770000	1300.000000	2030.410000	2012.890000		1425.060000	1053.300000
1003.438825	1742.750000	2062.920000	1935.360000	1345.010000	2172.990000	2060.430000	1932.860000	1552.640000	2045.410000	1920.350000	2090.440000	1415.060000	2218.010000	2025.410000	1812.780000	1312.500000	2152.970000	2015.400000		1450.080000	1058.310000
1003.614475	1767.760000	2075.420000	2275.560000	1350.010000	2243.020000	2137.970000	2007.890000	1555.140000	2047.910000	1995.390000	2253.040000	1427.560000	2293.070000	2042.930000	1885.330000	1320.010000	2195.510000	2170.490000		1455.070000	1060.800000
1003.752550	1837.800000	2157.990000	2305.570000	1395.050000		2140.480000	2080.440000	1575.160000	2055.430000	2027.910000		1437.580000		2155.490000	1940.370000	1460.080000	2273.050000	2270.540000		1515.110000	1063.320000
1003.836000	1910.350000	2167.990000		1435.080000		2263.060000	2198.000000	1577.650000	2175.490000	2235.520000		1462.580000		2160.490000	1947.860000	1477.570000		2288.060000		1535.120000	1068.320000
1003.845325	2215.520000	2177.990000		1452.570000		2308.070000	2245.540000	1635.190000	2228.020000			1487.590000		2208.010000	2162.980000	1497.610000		2303.070000		1550.120000	1075.820000
1003.889700	2248.020000	2205.510000		1475.090000				1665.200000	2233.040000			1502.610000		2295.570000	2250.530000	1505.110000				1595.160000	1078.320000
1003.904950		2230.520000		1490.090000				1677.700000				1512.610000				1517.610000				1607.670000	1080.820000
1003.907025		2285.550000		1492.590000				1692.720000				1522.620000				1562.640000				1620.170000	1083.320000
1004.558525				1495.100000				1700.220000				1565.140000				1592.650000				1637.690000	1085.840000
1005.064725				1507.600000				1717.730000				1570.150000				1600.170000				1660.200000	1088.340000
1005.454375				1527.620000				1725.230000				1572.640000				1602.670000				1662.700000	1090.820000
1005.763525				1545.140000				1732.740000				1622.670000				1610.170000				1670.200000	1093.330000
1005.923625				1590.150000				1737.730000				1632.680000				1625.170000				1675.200000	1095.830000
1006.029775				1597.660000				1750.250000				1647.690000				1627.690000				1745.250000	1100.840000
1006.064050				1605.170000				1827.800000				1682.700000				1680.220000				1747.750000	1105.830000
1006.250475				1630.190000				1830.300000				1727.730000				1687.700000				1755.250000	1118.330000
1006.469425				1640.190000				1840.300000				1760.250000				1690.220000				1815.300000	1120.850000
1006.471875				1667.710000				1850.310000				1817.800000				1697.720000				1845.300000	1123.350000
1006.487550				1730.240000				1855.320000				1857.820000				1715.230000				1852.810000	1125.850000
1006.576925				1742.750000				1862.810000				1875.330000				1765.270000				1870.310000	1128.350000
1006.738300				1757.750000				1865.310000				1887.830000				1772.770000				1945.360000	1130.850000
1006.762725				1762.750000				1877.820000				1907.850000				1812.780000				1997.890000	1133.350000
1006.913400				1767.760000				1882.830000				1912.850000				1835.300000				2012.890000	1187.430000
1007.110525				1770.270000				1900.330000				1920.350000				1867.820000				2015.400000	1189.930000
1007.130050				1775.270000				1927.840000				1942.860000				1885.330000				2030.410000	1192.430000
1007.147100				1837.800000				1932.860000				1987.890000				1940.370000				2050.420000	1194.950000
1007.266475				1842.820000				1985.390000				1990.400000				1947.860000				2077.940000	1199.950000
1007.300575				1847.800000				2007.890000				1995.390000				1992.900000				2152.970000	1209.950000
1007.354850				1872.830000				2040.420000				2017.890000				2002.900000				2170.490000	1212.440000
1007.372475				1910.350000				2060.430000				2027.910000				2010.390000				2195.510000	1214.950000
1007.423675				1930.360000				2080.440000				2045.410000				2025.410000				2270.540000	1234.960000
1007.488675				1935.360000				2125.460000				2047.910000				2042.930000				2273.050000	1237.470000
1007.498550				2005.400000				2137.970000				2055.430000				2082.940000				2288.060000	1239.960000
1008.008800				2062.920000				2140.480000				2057.930000				2147.970000				2298.070000	1242.460000
1008.228500				2075.420000				2172.990000				2090.440000				2155.490000				2303.070000	1244.960000
1008.515500				2157.990000				2198.000000				2175.490000				2160.490000					1247.470000
1008.768475				2167.990000				2243.020000				2228.020000				2162.980000					1254.980000
1009.099125				2177.990000				2245.540000				2233.040000				2208.010000					1257.460000
1009.115125				2205.510000				2263.060000				2235.520000				2218.010000					1282.480000
1009.778600				2215.520000				2308.070000				2253.040000				2250.530000					1284.980000
1009.940450				2230.520000												2293.070000					1290.000000
1010.068800				2248.020000												2295.570000					1292.480000
1010.118650				2275.560000																	1300.000000
1010.284025				2285.550000																	1302.500000
1010.419875				2305.570000																	1312.500000
1010.468600																					1320.010000
1010.666275																					1322.510000
1010.770600																					1337.510000
1010.801750																					1345.010000
1010.844600																					1347.510000
1010.982025																					1350.010000
1011.359225																					1357.510000
1011.673575																					1362.510000
1012.061150																					1365.030000
1012.277950																					1367.530000
1012.441500																					1395.050000
1013.961200																					1412.560000
1014.017200																					1415.060000
1014.942125																					1420.060000
1015.246075																					1422.560000
1015.394925																					1425.060000
1016.643800																					1427.560000
1016.840500																					1435.080000
1017.167325																					1437.580000
1017.215850																					1450.080000
1017.501300																					1452.570000
1017.535125																					1455.070000
1017.699800																					1460.080000
1017.782275																					1462.580000
1017.798175																					1475.090000
1018.144975																					1477.570000
1018.148050																					1487.590000
1018.153350																					1490.090000
1018.723200																					1492.590000
1019.228800																					1495.100000
1019.502325																					1497.610000
1020.427300																					1502.610000
1020.922850																					1505.110000
1021.379400																					1507.600000
1021.556025																					1510.110000
1021.652525																					1512.610000
1021.685300																					1515.110000
1022.058900																					1517.610000
1022.327400																					1522.620000
1022.352325																					1527.620000
1022.379800																					1535.120000
1022.524275																					1545.140000
1023.460500																					1550.120000
1023.640825																					1552.640000
1023.661300																					1555.140000
1023.671375																					1562.640000
1023.913325																					1565.140000
1024.410700																					1570.150000
1024.952350																					1572.640000
1025.421150																					1575.160000
1025.448750																					1577.650000
1026.160350																					1590.150000
1026.522300																					1592.650000
1026.676025																					1595.160000
1026.691675																					1597.660000
1026.704000																					1600.170000
1027.202950																					1602.670000
1027.583050																					1605.170000
1027.654075																					1607.670000
1027.692400																					1610.170000
1027.857125																					1620.170000
1028.115575																					1622.670000
1028.319900																					1625.170000
1028.362025																					1627.690000
1028.422825																					1630.190000
1028.811825																					1632.680000
1029.004175																					1635.190000
1029.210850																					1637.690000
1029.223275																					1640.190000
1029.401925																					1647.690000
1029.955650																					1660.200000
1031.415325																					1662.700000
1031.671550																					1665.200000
1031.675900																					1667.710000
1031.680725																					1670.200000
1031.690125																					1675.200000
1032.629125																					1677.700000
1033.253600																					1680.220000
1033.279825																					1682.700000
1033.454050																					1687.700000
1033.762800																					1690.220000
1033.804375																					1692.720000
1033.849000																					1697.720000
1034.414500																					1700.220000
1034.511350																					1715.230000
1034.636625																					1717.730000
1034.724075																					1725.230000
1035.283475																					1727.730000
1035.435525																					1730.240000
1035.464925																					1732.740000
1035.861825																					1737.730000
1035.929200																					1742.750000
1035.983025																					1745.250000
1036.120925																					1747.750000
1036.205950																					1750.250000
1036.218750																					1755.250000
1036.405400																					1757.750000
1036.464875																					1760.250000
1036.495125																					1762.750000
1036.778475																					1765.270000
1036.900250																					1767.760000
1036.963050																					1770.270000
1037.727125																					1772.770000
1037.820025																					1775.270000
1037.827200																					1812.780000
1038.159675																					1815.300000
1038.373350																					1817.800000
1038.518700																					1827.800000
1038.535550																					1830.300000
1038.913225																					1835.300000
1039.370100																					1837.800000
1040.509625																					1840.300000
1040.527200																					1842.820000
1040.777425																					1845.300000
1041.012700																					1847.800000
1041.056000																					1850.310000
1041.111075																					1852.810000
1041.142750																					1855.320000
1041.361525																					1857.820000
1041.473650																					1862.810000
1041.573825																					1865.310000
1042.196800																					1867.820000
1042.228750																					1870.310000
1042.726275																					1872.830000
1042.854125																					1875.330000
1043.425450																					1877.820000
1043.530275																					1882.830000
1043.744475																					1885.330000
1043.784050																					1887.830000
1043.787500																					1900.330000
1044.082175																					1907.850000
1044.236050																					1910.350000
1044.789675																					1912.850000
1044.914025																					1920.350000
1045.169700																					1927.840000
1045.246550																					1930.360000
1045.637550																					1932.860000
1045.858925																					1935.360000
1046.218150																					1940.370000
1046.353500																					1942.860000
1047.136975																					1945.360000
1047.153550																					1947.860000
1047.163275																					1985.390000
1047.172675																					1987.890000
1047.594750																					1990.400000
1047.734850																					1992.900000
1047.834250																					1995.390000
1047.856200																					1997.890000
1047.863575																					2002.900000
1047.996225																					2005.400000
1048.010350																					2007.890000
1048.015300																					2010.390000
1048.508475																					2012.890000
1048.539100																					2015.400000
1048.545325																					2017.890000
1048.595475																					2025.410000
1049.196300																					2027.910000
1049.526500																					2030.410000
1049.567525																					2040.420000
1049.585375																					2042.930000
1050.036825																					2045.410000
1050.047025																					2047.910000
1050.049625																					2050.420000
1050.139375																					2055.430000
1050.746000																					2057.930000
1050.758300																					2060.430000
1050.778050																					2062.920000
1050.870275																					2075.420000
1051.146150																					2077.940000
1051.280225																					2080.440000
1051.318200																					2082.940000
1051.333600																					2090.440000
1051.360975																					2125.460000
1051.378675																					2137.970000
1051.389900																					2140.480000
1051.409150																					2147.970000
1051.783325																					2152.970000
1051.795600																					2155.490000
1051.990525																					2157.990000
1052.238825																					2160.490000
1052.969250																					2162.980000
1052.973525																					2167.990000
1052.975625																					2170.490000
1053.773475																					2172.990000
1053.905975																					2175.490000
1054.123075																					2177.990000
1054.146975																					2195.510000
1054.718175																					2198.000000
1054.750825																					2205.510000
1055.182175																					2208.010000
1055.265550																					2215.520000
1055.301900																					2218.010000
1055.625925																					2228.020000
1055.636225																					2230.520000
1055.641500																					2233.040000
1055.651300																					2235.520000
1055.658075																					2243.020000
1055.871525																					2245.540000
1055.873150																					2248.020000
1055.887225																					2250.530000
1055.896825																					2253.040000
1055.950075																					2263.060000
1056.032475																					2270.540000
1056.074175																					2273.050000
1056.428625																					2275.560000
1056.621175																					2285.550000
1056.803600																					2288.060000
1056.969675																					2293.070000
1057.022400																					2295.570000
1057.446350																					2298.070000
1057.702150																					2303.070000
1057.825950																					2305.570000
1057.845300																					2308.070000
1058.485325																					
1059.146625																					
1059.752675																					
1060.088650																					
1060.518300																					
1060.678575																					
1060.977700																					
1061.110400																					
1061.556825																					
1061.875450																					
1062.574850																					
1062.584375																					
1062.653650																					
1062.894750																					
1063.255525																					
1063.258725																					
1063.334950																					
1063.670450																					
1064.654375																					
1065.633650																					
1065.809050																					
1066.202475																					
1066.673450																					
1067.343275																					
1067.416600																					
1067.913550																					
1067.984250																					
1068.009700																					
1068.031200																					
1068.518050																					
1068.566050																					
1068.572075																					
1068.577075																					
1068.635950																					
1068.645225																					
1068.678850																					
1068.712625																					
1068.823725																					
1068.827725																					
1069.614350																					
1070.045100																					
1070.074700																					
1070.085000																					
1070.196300																					
1070.226025																					
1070.268375																					
1070.312975																					
1070.387625																					
