SPK10b	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.290850	46.679600	99.210600	224.278000	46.679600	214.272000	416.884000	104.214000	104.214000	174.241000	301.823000	136.726000	136.726000	204.273000	71.694600	456.921000	71.694600	116.707000	321.842000	44.178600	44.178600	44.178600
0.305425	49.181600	246.791000	266.810000	49.181600	234.290000	436.903000	374.373000	214.272000	274.307000	319.340000	139.228000	139.228000	484.437000	81.693600	596.997000	81.693600	409.386000	454.420000	79.191600	79.191600	46.679600
0.393200	89.190600	294.326000	444.400000	89.190600	271.806000	479.421000	379.369000	234.290000	584.482000	326.838000	159.239000	159.239000	524.447000	261.793000	667.031000	204.273000	514.448000	647.033000	179.258000	116.707000	49.181600
0.426350	506.937000	574.484000	464.419000	99.210600	284.306000	489.433000	551.963000	271.806000	849.638000	617.015000	206.760000	174.241000	559.468000	526.949000	754.596000	261.793000	609.497000	682.047000	254.288000	179.258000	71.694600
0.447500	529.450000	714.559000	539.449000	224.278000	336.837000	504.449000	566.979000	284.306000	899.675000	709.563000	241.788000	206.760000	887.160000	674.549000	789.610000	456.921000	629.516000	824.624000	619.517000	254.288000	79.191600
0.451050	622.011000	839.639000	644.532000	246.791000	401.889000	634.512000	606.996000	336.837000	949.704000	774.608000	541.964000	241.788000	917.192000	892.170000	814.625000	484.437000	787.109000	912.175000	632.017000	321.842000	81.693600
0.468825	779.590000	909.674000	672.048000	266.810000	536.948000	662.028000	659.527000	374.373000	967.221000	847.144000	757.091000	274.307000	934.688000	952.206000	929.692000	524.447000	894.672000	914.670000	822.122000	409.386000	89.190600
0.484275	947.203000	939.691000	877.155000	294.326000	742.075000	747.078000	677.044000	379.369000	987.219000	907.172000	879.656000	301.823000	974.719000	989.721000	984.725000	526.949000	977.220000	924.689000	897.173000	454.420000	99.210600
0.533425	1064.770000	1039.750000	1117.300000	444.400000	797.107000	794.613000	817.126000	401.889000	1009.740000	937.204000	882.158000	319.340000	1012.230000	1002.230000	1072.270000	559.468000	1162.150000	944.708000	919.687000	514.448000	104.214000
0.554350	1114.800000	1132.320000	1169.650000	464.419000	844.642000	884.659000	932.187000	416.884000	1094.780000	979.722000	889.676000	326.838000	1159.650000	1077.270000	1562.370000	596.997000	1254.700000	964.706000	922.188000	609.497000	116.707000
0.668625	1529.860000	1382.280000	1284.710000	506.937000	992.222000	904.671000	969.709000	436.903000	1412.300000	999.720000	902.176000	541.964000	1334.740000	1109.800000	1564.870000	667.031000	1502.340000	1112.300000	942.207000	619.517000	136.726000
0.684725	1634.910000	1387.280000	1309.730000	529.450000	1007.240000	1004.740000	972.204000	479.421000	1549.860000	1014.730000	927.191000	584.482000	1342.250000	1127.300000	1729.970000	674.549000	1557.350000	1124.800000	954.707000	629.516000	139.228000
0.698450	1667.440000	1397.280000	1377.270000	539.449000	1364.760000	1047.250000	1019.740000	489.433000	1722.470000	1062.270000	1022.240000	617.015000	1369.780000	1442.310000	1732.470000	754.596000	1692.440000	1204.670000	1017.240000	632.017000	159.239000
0.705150	1684.930000	1482.320000	1494.840000	574.484000	1372.280000	1119.800000	1044.750000	504.449000	1857.550000	1262.210000	1189.660000	709.563000	1407.290000	1472.320000	1787.500000	789.610000	1767.480000	1427.310000	1099.780000	647.033000	174.241000
0.709775	1709.950000	1504.840000	1509.840000	622.011000	1422.290000	1129.820000	1049.760000	536.948000	1922.580000	1327.250000	1379.780000	757.091000	1489.830000	1522.360000	1830.030000	814.625000	1780.000000	1459.810000	1137.310000	682.047000	179.258000
0.726925	1917.580000	1527.360000	1579.870000	644.532000	1492.340000	1324.740000	1214.680000	551.963000	1950.100000	1349.760000	1599.880000	774.608000	1727.470000	1589.890000	1892.560000	887.160000	1817.510000	1629.900000	1217.180000	787.109000	204.273000
0.743650	1937.580000	1609.890000	1602.390000	672.048000	1532.360000	1800.000000	1247.200000	566.979000		1449.810000	1842.530000	847.144000	1790.000000	1637.420000	1897.570000	892.170000	1925.080000	1639.900000	1287.230000	822.122000	206.760000
0.768825		1822.520000	1612.410000	714.559000	1657.420000	1870.050000	1294.730000	606.996000		1544.870000	1895.070000	849.638000	1855.030000	1664.940000	1915.060000	917.192000	1947.600000	1785.000000	1317.230000	824.624000	214.272000
