SPK11b	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.564500	96.029200	33.513200	31.011200	31.011200	363.707000	88.545200	36.014200	36.014200	46.013200	133.564000	51.030200	46.013200	86.030200	138.560000	66.032200	66.032200	43.512200	38.516200	26.015200	26.015200	26.015200
1.183900	153.576000	343.688000	73.529200	33.513200	426.236000	118.563000	58.527200	58.527200	103.547000	288.642000	116.061000	51.030200	106.048000	318.673000	143.563000	86.030200	158.579000	76.031200	161.074000	38.516200	31.011200
1.254325	568.813000	441.238000	163.575000	73.529200	538.782000	201.111000	123.559000	88.545200	156.078000	296.153000	171.093000	103.547000	121.064000	323.669000	663.862000	106.048000	191.091000	111.058000	208.609000	43.512200	33.513200
1.324250	786.427000	541.297000	173.595000	96.029200	721.396000	286.154000	321.175000	118.563000	168.578000	326.171000	206.107000	116.061000	183.594000	331.174000	766.430000	121.064000	193.593000	203.606000	291.157000	76.031200	36.014200
1.326650	813.944000	611.331000	401.222000	153.576000	743.909000	356.188000	366.187000	123.559000	196.094000	328.672000	233.623000	133.564000	266.142000	488.752000	881.490000	138.560000	308.653000	253.642000	418.739000	111.058000	38.516200
1.331575	831.461000	811.442000	468.768000	163.575000	756.410000	483.770000	413.736000	201.111000	228.627000	371.204000	443.754000	156.078000	278.643000	516.282000	1026.570000	143.563000	461.250000	566.319000	486.286000	158.579000	43.512200
2.216225	848.978000	851.473000	691.379000	173.595000	858.977000	661.361000	433.734000	286.154000	303.657000	606.328000	508.764000	168.578000	313.670000	526.281000	1034.070000	183.594000	506.284000	623.846000	491.268000	161.074000	46.013200
2.234725	853.974000	898.994000	723.898000	343.688000	929.004000	716.393000	571.315000	321.175000	393.703000	681.380000	531.284000	171.093000	376.207000	576.318000	1066.590000	266.142000	693.880000	658.866000	501.267000	191.091000	51.030200
2.885225	949.023000	921.507000	793.925000	401.222000	989.040000	1004.060000	608.830000	356.188000	493.769000	773.927000	551.296000	196.094000	431.239000	701.398000	1081.600000	278.643000	776.429000	706.394000	573.816000	193.593000	58.527200
3.577275	959.022000	939.024000	896.492000	441.238000	991.541000	1006.560000	796.440000	363.707000	593.835000	816.445000	788.929000	206.107000	621.351000	873.972000	1215.620000	313.670000	826.458000	736.412000	613.833000	203.606000	66.032200
5.911350	1089.110000	984.037000	919.005000	468.768000	1114.120000	1109.120000	866.475000	366.187000	698.876000	823.956000	924.008000	228.627000	728.914000	916.504000	1280.660000	318.673000	833.962000	806.446000	628.849000	208.609000	73.529200
6.028725	1111.620000	1170.580000	934.007000	541.297000	1250.650000	1255.650000	961.523000	413.736000	738.913000	883.992000	1074.090000	233.623000	861.472000	1009.050000	1520.790000	323.669000	856.476000	971.536000	708.896000	253.642000	76.031200
6.094075	1218.130000	1190.600000	979.041000	568.813000	1268.150000	1263.150000	976.539000	426.236000	758.925000	908.993000	1076.610000	288.642000	911.494000	1193.120000	1548.310000	331.174000	906.491000	974.038000	1061.590000	291.157000	86.030200
6.628875	1233.140000	1405.730000	1168.080000	611.331000	1313.180000	1423.250000	981.535000	433.734000	901.488000	1079.100000	1188.100000	296.153000	964.039000	1245.650000	1560.820000	376.207000	1328.180000	1165.580000	1119.120000	308.653000	88.545200
6.636625	1235.630000	1418.230000	1300.660000	691.379000	1500.780000	1438.240000	1116.620000	483.770000	903.990000	1106.620000	1253.150000	303.657000	1101.620000	1275.650000		431.239000	1330.680000	1213.120000	1163.100000	418.739000	96.029200
