SPK15b	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.286375	48.151600	40.633600	18.134600	18.134600	50.653600	105.686000	153.200000	50.653600	33.135600	35.637500	38.138600	33.135600	28.132500	43.148600	10.733500	10.733500	30.634600	15.632600	58.150600	15.632600	10.733500
0.308225	83.165500	70.664600	150.698000	40.633600	100.683000	188.234000	223.248000	100.683000	90.683500	55.649500	103.184000	35.637500	80.670600	95.686500	53.154600	28.132500	178.228000	63.153600	128.199000	30.634600	15.632600
0.451750	115.685000	165.714000	168.216000	48.151600	118.186000	273.277000	250.764000	105.686000	135.697000	88.168500	158.217000	38.138600	93.184600	310.792000	65.668500	43.148600	448.373000	190.729000	195.732000	58.150600	18.134600
0.516600	173.219000	255.760000	263.278000	70.664600	163.213000	288.293000	308.298000	118.186000	155.715000	260.777000	220.747000	55.649500	108.180000	318.311000	230.745000	53.154600	493.407000	248.263000	205.745000	63.153600	28.132500
0.677700	238.264000	268.281000	340.810000	83.165500	200.735000	343.325000	353.324000	153.200000	228.251000	275.779000	338.309000	88.168500	170.717000	368.326000	360.829000	65.668500	510.924000	258.262000	225.749000	128.199000	30.634600
0.744250	328.310000	285.778000	345.827000	115.685000	235.762000	438.374000	400.859000	163.213000	245.761000	283.297000	355.826000	90.683500	243.267000	393.341000	370.842000	80.670600	535.939000	365.846000	323.314000	178.228000	33.135600
0.768725	395.856000	330.811000	383.342000	150.698000	335.814000	523.424000	420.857000	188.234000	270.776000	293.296000	430.877000	103.184000	253.266000	403.361000	373.343000	93.184600	583.453000	415.861000	333.313000	190.729000	35.637500
1.100950	423.359000	348.328000	388.345000	165.714000	350.830000	590.971000	558.438000	200.735000	290.795000	313.294000	495.908000	135.697000	265.780000	450.875000	398.358000	95.686500	623.490000	425.874000	405.862000	195.732000	38.138600
1.190350	443.377000	428.362000	408.357000	168.216000	413.360000	648.505000	568.458000	223.248000	433.378000	315.795000	538.440000	155.715000	300.794000	460.888000	410.858000	108.180000	628.486000	435.873000	473.388000	205.745000	40.633600
1.306350	533.423000	440.876000	455.892000	173.219000	445.879000	671.018000	595.974000	235.762000	480.906000	320.812000	565.956000	158.217000	363.330000	465.891000	508.423000	170.717000	638.485000	610.969000	478.405000	225.749000	43.148600
1.331950	540.942000	570.952000	485.909000	238.264000	453.390000	691.016000	683.519000	250.764000	490.905000	325.808000	618.487000	220.747000	418.356000	475.890000	650.999000	230.745000	653.501000	646.003000	488.404000	248.263000	48.151600
1.352750	550.941000	598.469000	620.989000	255.760000	656.002000	703.537000	783.584000	273.277000	505.921000	358.327000	758.570000	228.251000	543.436000	483.408000	786.086000	243.267000	658.504000	706.032000	560.953000	258.262000	50.653600
1.784125	555.937000	771.084000	678.516000	263.278000	698.534000	953.677000	853.612000	288.293000	580.951000	458.393000	776.066000	245.761000	548.439000	545.938000	816.097000	253.266000	681.017000	723.549000	573.454000	323.314000	53.154600
1.961725	663.500000	866.133000	711.035000	268.281000	708.533000	986.197000	948.681000	308.298000	676.021000	463.389000	778.581000	260.777000	588.470000	563.455000	823.601000	265.780000	721.048000	741.052000	600.970000	333.313000	55.649500
1.993850	801.102000	901.147000	718.532000	285.778000	713.536000	993.708000	963.676000	335.814000	686.020000	585.954000	826.096000	270.776000	636.005000	575.955000	876.132000	300.794000	763.566000	768.569000	633.489000	365.846000	58.150600
2.005575	836.115000	908.644000	781.083000	328.310000	731.054000	1016.210000	1043.720000	343.325000	726.051000	668.503000	833.600000	275.779000	673.520000	625.985000	938.676000	310.792000	766.067000	958.680000	666.022000	405.862000	63.153600
2.110275	841.111000	926.161000	808.599000	330.811000	738.551000	1083.760000	1103.770000	350.830000	746.048000	761.064000	923.660000	283.297000	716.038000	688.522000	943.679000	318.311000	806.098000	961.175000	851.117000	415.861000	65.668500
2.212650	946.180000	971.195000	863.631000	340.810000	743.547000	1219.200000	1113.770000	353.324000	756.068000	811.101000	928.663000	290.795000	828.597000	878.633000	981.194000	360.829000	813.595000	1111.280000	1028.730000	425.874000	70.664600
2.226525	1076.240000	973.696000	883.629000	345.827000	831.098000	1249.220000	1166.670000	400.859000	888.646000	1011.210000	931.164000	293.296000	898.645000	988.691000	1013.710000	363.330000	843.613000	1169.170000	1048.740000	435.873000	80.670600
2.353000	1121.280000	1086.250000	1033.720000	348.328000	846.114000	1256.720000	1189.190000	413.360000	891.148000	1093.760000	1023.730000	313.294000	1088.760000	1239.210000	1021.210000	368.326000	858.629000	1206.690000	1106.270000	448.373000	83.165500
2.667875	1211.690000	1184.190000	1204.190000	383.342000	978.692000	1331.770000	1254.220000	420.857000	1108.780000	1123.770000	1031.220000	315.795000	1091.260000	1269.240000	1046.250000	370.842000	941.177000	1241.720000	1271.720000	473.388000	88.168500
2.817550	1229.210000	1214.210000	1221.700000	388.345000	1018.710000	1416.800000	1266.740000	438.374000	1234.200000	1179.170000	1063.740000	320.812000	1131.270000	1449.330000	1126.270000	373.343000	1026.230000	1329.250000	1291.740000	478.405000	90.683500
2.860500	1259.220000	1376.780000	1294.250000	395.856000	1051.240000	1431.810000	1296.750000	445.879000	1279.240000	1231.700000	1246.720000	325.808000	1171.670000	1454.330000	1209.200000	393.341000	1174.170000	1334.270000	1339.260000	488.404000	93.184600
2.868025	1281.740000	1399.300000	1304.250000	408.357000	1101.260000	1581.890000	1351.770000	453.390000	1286.730000	1264.220000	1276.740000	338.309000	1216.710000	1511.870000	1274.230000	398.358000	1289.240000	1391.800000	1349.270000	493.407000	95.686500
2.877075	1284.240000	1429.320000	1484.350000	423.359000	1194.190000	1614.430000	1354.270000	523.424000	1299.260000	1419.320000	1336.770000	355.826000	1236.700000	1536.880000	1374.290000	403.361000	1321.750000	1401.800000	1356.770000	510.924000	100.683000
2.923300	1316.750000	1491.850000	1526.860000	428.362000	1244.220000		1366.780000	558.438000	1319.250000	1426.820000	1346.770000	358.327000	1251.720000	1546.880000	1504.350000	410.858000	1324.250000	1424.310000	1421.810000	535.939000	103.184000
3.320400	1381.780000	1529.380000	1531.880000	440.876000	1261.720000		1394.300000	568.458000	1326.750000	1436.820000	1364.270000	430.877000	1396.800000	1594.410000	1514.360000	418.356000	1341.770000	1509.360000	1466.830000	560.953000	105.686000
3.534650	1441.820000	1571.900000	1599.410000	443.377000	1306.750000		1451.830000	590.971000	1371.780000	1446.840000	1481.850000	433.378000	1444.310000	1604.410000		450.875000	1439.330000	1559.390000	1549.400000	573.454000	108.180000
4.788975	1471.830000	1584.410000	1629.430000	455.892000	1344.270000		1496.840000	595.974000	1389.280000	1464.330000	1499.370000	458.393000	1506.860000	1609.410000		460.888000	1591.910000	1569.390000	1616.930000	583.453000	115.685000
4.820950	1539.380000			485.909000	1379.280000		1519.360000	648.505000	1434.310000	1469.350000	1574.400000	463.389000	1561.900000	1619.430000		465.891000		1579.410000	1621.920000	600.970000	118.186000
6.494800	1566.890000			533.423000	1494.350000		1521.870000	656.002000	1524.360000	1501.860000		480.906000	1611.930000			475.890000			1631.940000	610.969000	128.199000
6.610750	1586.910000			540.942000	1556.890000		1564.400000	671.018000	1534.370000	1601.910000		490.905000				483.408000				623.490000	135.697000
6.714825				550.941000	1589.410000			683.519000	1576.900000			495.908000				508.423000				628.486000	150.698000
7.011075				555.937000	1596.910000			691.016000				505.921000				543.436000				633.489000	153.200000
7.040300				570.952000				698.534000				538.440000				545.938000				638.485000	155.715000
7.087925				598.469000				703.537000				565.956000				548.439000				646.003000	158.217000
7.116275				620.989000				708.533000				580.951000				563.455000				653.501000	163.213000
7.381050				663.500000				713.536000				585.954000				575.955000				658.504000	165.714000
7.476400				678.516000				731.054000				618.487000				588.470000				666.022000	168.216000
7.809525				711.035000				738.551000				668.503000				625.985000				681.017000	170.717000
7.816100				718.532000				743.547000				676.021000				636.005000				706.032000	173.219000
7.831825				771.084000				783.584000				686.020000				650.999000				721.048000	178.228000
7.836200				781.083000				831.098000				726.051000				673.520000				723.549000	188.234000
8.085325				801.102000				846.114000				746.048000				688.522000				741.052000	190.729000
8.149325				808.599000				853.612000				756.068000				716.038000				763.566000	195.732000
8.181425				836.115000				948.681000				758.570000				786.086000				766.067000	200.735000
8.312775				841.111000				953.677000				761.064000				816.097000				768.569000	205.745000
8.329350				863.631000				963.676000				776.066000				823.601000				806.098000	220.747000
8.390375				866.133000				978.692000				778.581000				828.597000				813.595000	223.248000
8.398275				883.629000				986.197000				811.101000				876.132000				843.613000	225.749000
8.442925				901.147000				993.708000				826.096000				878.633000				851.117000	228.251000
8.505025				908.644000				1016.210000				833.600000				898.645000				858.629000	230.745000
8.510050				926.161000				1018.710000				888.646000				938.676000				941.177000	235.762000
8.518525				946.180000				1043.720000				891.148000				943.679000				958.680000	238.264000
8.527775				971.195000				1051.240000				923.660000				981.194000				961.175000	243.267000
8.595725				973.696000				1083.760000				928.663000				988.691000				1026.230000	245.761000
8.882175				1033.720000				1101.260000				931.164000				1013.710000				1028.730000	248.263000
9.106550				1076.240000				1103.770000				1011.210000				1021.210000				1048.740000	250.764000
9.109800				1086.250000				1113.770000				1023.730000				1046.250000				1106.270000	253.266000
9.127500				1121.280000				1166.670000				1031.220000				1088.760000				1111.280000	255.760000
9.245250				1184.190000				1189.190000				1063.740000				1091.260000				1169.170000	258.262000
9.449450				1204.190000				1194.190000				1093.760000				1126.270000				1174.170000	260.777000
10.127800				1211.690000				1219.200000				1108.780000				1131.270000				1206.690000	263.278000
10.848950				1214.210000				1244.220000				1123.770000				1171.670000				1241.720000	265.780000
11.856125				1221.700000				1249.220000				1179.170000				1209.200000				1271.720000	268.281000
11.938875				1229.210000				1254.220000				1231.700000				1216.710000				1289.240000	270.776000
12.077025				1259.220000				1256.720000				1234.200000				1236.700000				1291.740000	273.277000
12.373275				1281.740000				1261.720000				1246.720000				1239.210000				1321.750000	275.779000
12.784750				1284.240000				1266.740000				1264.220000				1251.720000				1324.250000	283.297000
13.179425				1294.250000				1296.750000				1276.740000				1269.240000				1329.250000	285.778000
13.323375				1304.250000				1306.750000				1279.240000				1274.230000				1334.270000	288.293000
13.761375				1316.750000				1331.770000				1286.730000				1374.290000				1339.260000	290.795000
14.105325				1376.780000				1344.270000				1299.260000				1396.800000				1341.770000	293.296000
14.604725				1381.780000				1351.770000				1319.250000				1444.310000				1349.270000	300.794000
14.608975				1399.300000				1354.270000				1326.750000				1449.330000				1356.770000	308.298000
14.682250				1429.320000				1366.780000				1336.770000				1454.330000				1391.800000	310.792000
14.918825				1441.820000				1379.280000				1346.770000				1504.350000				1401.800000	313.294000
15.091050				1471.830000				1394.300000				1364.270000				1506.860000				1421.810000	315.795000
15.691050				1484.350000				1416.800000				1371.780000				1511.870000				1424.310000	318.311000
15.925250				1491.850000				1431.810000				1389.280000				1514.360000				1439.330000	320.812000
15.941300				1526.860000				1451.830000				1419.320000				1536.880000				1466.830000	323.314000
16.012450				1529.380000				1494.350000				1426.820000				1546.880000				1509.360000	325.808000
16.919400				1531.880000				1496.840000				1434.310000				1561.900000				1549.400000	328.310000
17.415825				1539.380000				1519.360000				1436.820000				1594.410000				1559.390000	330.811000
17.443700				1566.890000				1521.870000				1446.840000				1604.410000				1569.390000	333.313000
17.683225				1571.900000				1556.890000				1464.330000				1609.410000				1579.410000	335.814000
17.826475				1584.410000				1564.400000				1469.350000				1611.930000				1591.910000	338.309000
18.116875				1586.910000				1581.890000				1481.850000				1619.430000				1616.930000	340.810000
18.248650				1599.410000				1589.410000				1499.370000								1621.920000	343.325000
18.278225				1629.430000				1596.910000				1501.860000								1631.940000	345.827000
18.312325								1614.430000				1524.360000									348.328000
18.356900												1534.370000									350.830000
19.075175												1574.400000									353.324000
19.443775												1576.900000									355.826000
19.627650												1601.910000									358.327000
19.674600																					360.829000
19.728750																					363.330000
19.850700																					365.846000
20.626900																					368.326000
20.848525																					370.842000
20.866250																					373.343000
20.869600																					383.342000
20.964575																					388.345000
21.880975																					393.341000
22.526075																					395.856000
22.772025																					398.358000
22.831450																					400.859000
22.841600																					403.361000
22.891425																					405.862000
22.918275																					408.357000
22.920375																					410.858000
23.028875																					413.360000
23.040650																					415.861000
23.057200																					418.356000
23.122000																					420.857000
24.257900																					423.359000
24.496850																					425.874000
24.692250																					428.362000
25.454675																					430.877000
25.712100																					433.378000
25.838750																					435.873000
26.100775																					438.374000
26.207450																					440.876000
26.386300																					443.377000
26.615475																					445.879000
26.802125																					448.373000
26.959575																					450.875000
26.963525																					453.390000
26.977475																					455.892000
27.065000																					458.393000
27.396650																					460.888000
27.434425																					463.389000
27.455650																					465.891000
27.505375																					473.388000
27.662875																					475.890000
27.709350																					478.405000
27.819125																					480.906000
27.823550																					483.408000
27.828125																					485.909000
27.925550																					488.404000
28.156875																					490.905000
28.396575																					493.407000
28.731275																					495.908000
29.056225																					505.921000
29.062650																					508.423000
29.200975																					510.924000
29.728725																					523.424000
30.168800																					533.423000
30.179325																					535.939000
30.213000																					538.440000
30.477875																					540.942000
30.488700																					543.436000
30.620800																					545.938000
30.860975																					548.439000
30.917400																					550.941000
30.971775																					555.937000
31.016975																					558.438000
31.124225																					560.953000
31.456900																					563.455000
31.482850																					565.956000
32.385275																					568.458000
32.395525																					570.952000
32.414675																					573.454000
32.439650																					575.955000
32.570625																					580.951000
32.599825																					583.453000
32.916150																					585.954000
33.082300																					588.470000
33.088250																					590.971000
33.089675																					595.974000
33.126650																					598.469000
33.129200																					600.970000
33.164425																					610.969000
33.186025																					618.487000
33.195275																					620.989000
33.310475																					623.490000
33.336625																					625.985000
33.365375																					628.486000
33.662075																					633.489000
33.764950																					636.005000
34.272225																					638.485000
34.497325																					646.003000
34.610025																					648.505000
34.620450																					650.999000
34.628400																					653.501000
34.659775																					656.002000
34.661025																					658.504000
34.667700																					663.500000
34.675250																					666.022000
34.695425																					668.503000
34.706450																					671.018000
34.735825																					673.520000
34.763925																					676.021000
34.765750																					678.516000
34.781950																					681.017000
34.784475																					683.519000
34.810200																					686.020000
34.986675																					688.522000
35.361250																					691.016000
35.440825																					698.534000
35.451575																					703.537000
35.459425																					706.032000
35.549675																					708.533000
35.744800																					711.035000
36.908800																					713.536000
37.312350																					716.038000
37.457975																					718.532000
37.707875																					721.048000
37.712300																					723.549000
38.184650																					726.051000
38.230000																					731.054000
38.293325																					738.551000
38.344900																					741.052000
38.375550																					743.547000
39.046675																					746.048000
39.170625																					756.068000
39.536825																					758.570000
39.601525																					761.064000
39.665100																					763.566000
39.719225																					766.067000
39.812975																					768.569000
40.477650																					771.084000
40.506875																					776.066000
40.514000																					778.581000
40.759675																					781.083000
42.175925																					783.584000
42.295575																					786.086000
42.456500																					801.102000
43.209250																					806.098000
43.585200																					808.599000
43.590300																					811.101000
43.604950																					813.595000
44.373250																					816.097000
44.982325																					823.601000
45.036275																					826.096000
45.037350																					828.597000
45.059450																					831.098000
45.080900																					833.600000
45.087150																					836.115000
45.098975																					841.111000
45.118850																					843.613000
45.133725																					846.114000
45.183150																					851.117000
45.456900																					853.612000
45.469675																					858.629000
45.481050																					863.631000
45.931300																					866.133000
46.365725																					876.132000
46.614325																					878.633000
46.674500																					883.629000
46.772525																					888.646000
46.777625																					891.148000
46.783525																					898.645000
46.811775																					901.147000
46.820075																					908.644000
46.822475																					923.660000
46.852850																					926.161000
46.858400																					928.663000
46.863225																					931.164000
46.868250																					938.676000
46.880675																					941.177000
46.883850																					943.679000
46.895475																					946.180000
46.925225																					948.681000
46.953375																					953.677000
47.335425																					958.680000
47.399275																					961.175000
47.549425																					963.676000
47.695500																					971.195000
47.814950																					973.696000
48.111125																					978.692000
48.226400																					981.194000
48.292775																					986.197000
48.297750																					988.691000
48.320325																					993.708000
48.420650																					1011.210000
48.634725																					1013.710000
48.691775																					1016.210000
48.858300																					1018.710000
48.904600																					1021.210000
49.145900																					1023.730000
49.210500																					1026.230000
49.418925																					1028.730000
49.572250																					1031.220000
49.652300																					1033.720000
49.668025																					1043.720000
49.751050																					1046.250000
49.940525																					1048.740000
50.429450																					1051.240000
50.709150																					1063.740000
50.904250																					1076.240000
51.260975																					1083.760000
51.334650																					1086.250000
51.354875																					1088.760000
51.514625																					1091.260000
51.766600																					1093.760000
51.819875																					1101.260000
52.045725																					1103.770000
52.113325																					1106.270000
52.405050																					1108.780000
52.511425																					1111.280000
52.541550																					1113.770000
52.586500																					1121.280000
52.991475																					1123.770000
52.997800																					1126.270000
53.541350																					1131.270000
54.028800																					1166.670000
54.036700																					1169.170000
54.048425																					1171.670000
54.122225																					1174.170000
54.950575																					1179.170000
55.023550																					1184.190000
55.159825																					1189.190000
55.185500																					1194.190000
55.467925																					1204.190000
55.477725																					1206.690000
55.486850																					1209.200000
55.497225																					1211.690000
55.630525																					1214.210000
55.664550																					1216.710000
55.667675																					1219.200000
55.842000																					1221.700000
56.032900																					1229.210000
56.055325																					1231.700000
56.222775																					1234.200000
56.372050																					1236.700000
56.382075																					1239.210000
56.768925																					1241.720000
56.814175																					1244.220000
56.818100																					1246.720000
56.823550																					1249.220000
56.890000																					1251.720000
56.966800																					1254.220000
57.244600																					1256.720000
57.248675																					1259.220000
57.311050																					1261.720000
57.407525																					1264.220000
57.672225																					1266.740000
58.408750																					1269.240000
58.784200																					1271.720000
59.290600																					1274.230000
59.370300																					1276.740000
59.403250																					1279.240000
59.414850																					1281.740000
59.995350																					1284.240000
60.007400																					1286.730000
60.035700																					1289.240000
60.153875																					1291.740000
60.179575																					1294.250000
60.401125																					1296.750000
60.480625																					1299.260000
60.493525																					1304.250000
60.557300																					1306.750000
60.609375																					1316.750000
60.953200																					1319.250000
61.103575																					1321.750000
61.244725																					1324.250000
61.660875																					1326.750000
61.740650																					1329.250000
61.751950																					1331.770000
61.806575																					1334.270000
63.563300																					1336.770000
63.722575																					1339.260000
63.728575																					1341.770000
63.788750																					1344.270000
63.981625																					1346.770000
64.428725																					1349.270000
64.550825																					1351.770000
65.914175																					1354.270000
65.956500																					1356.770000
65.968600																					1364.270000
66.504225																					1366.780000
66.728275																					1371.780000
66.778750																					1374.290000
67.268875																					1376.780000
67.450375																					1379.280000
67.529575																					1381.780000
67.534550																					1389.280000
67.853600																					1391.800000
67.872100																					1394.300000
67.873425																					1396.800000
67.879100																					1399.300000
67.896925																					1401.800000
67.944625																					1416.800000
67.975800																					1419.320000
67.993700																					1421.810000
68.040675																					1424.310000
68.043525																					1426.820000
68.065025																					1429.320000
68.399950																					1431.810000
68.460175																					1434.310000
68.833075																					1436.820000
68.948950																					1439.330000
69.000650																					1441.820000
69.193500																					1444.310000
69.274700																					1446.840000
69.337025																					1449.330000
69.351725																					1451.830000
69.618500																					1454.330000
69.805275																					1464.330000
69.839125																					1466.830000
69.915400																					1469.350000
69.974400																					1471.830000
70.044550																					1481.850000
70.058800																					1484.350000
70.064700																					1491.850000
70.075150																					1494.350000
70.080525																					1496.840000
70.312700																					1499.370000
70.318450																					1501.860000
70.329575																					1504.350000
70.345825																					1506.860000
70.578625																					1509.360000
70.583075																					1511.870000
71.356975																					1514.360000
71.369350																					1519.360000
71.426800																					1521.870000
71.449475																					1524.360000
71.817450																					1526.860000
72.051350																					1529.380000
72.123300																					1531.880000
72.157200																					1534.370000
72.165525																					1536.880000
72.241225																					1539.380000
72.327325																					1546.880000
72.366300																					1549.400000
72.651300																					1556.890000
74.045100																					1559.390000
74.770675																					1561.900000
74.783075																					1564.400000
74.950825																					1566.890000
74.962425																					1569.390000
75.805825																					1571.900000
75.823100																					1574.400000
75.849850																					1576.900000
75.886325																					1579.410000
76.463975																					1581.890000
76.598250																					1584.410000
76.647850																					1586.910000
77.517850																					1589.410000
77.954600																					1591.910000
78.215150																					1594.410000
78.220425																					1596.910000
78.231150																					1599.410000
78.265300																					1601.910000
78.308250																					1604.410000
78.427075																					1609.410000
78.548800																					1611.930000
78.951525																					1614.430000
78.960225																					1616.930000
78.979000																					1619.430000
78.983050																					1621.920000
79.005400																					1629.430000
79.012750																					1631.940000
79.077175																					
79.083400																					
79.108850																					
79.176650																					
79.199325																					
79.233800																					
79.253850																					
79.262600																					
79.286150																					
79.471175																					
79.476625																					
79.488950																					
79.773000																					
79.787850																					
79.795750																					
79.803500																					
79.825925																					
79.964800																					
80.018300																					
80.283650																					
80.297150																					
80.337850																					
80.381875																					
80.388050																					
80.499900																					
80.555400																					
80.585050																					
80.800675																					
81.150050																					
81.268225																					
81.385850																					
81.428950																					
81.817225																					
82.088250																					
82.492975																					
82.513900																					
82.521425																					
82.528800																					
82.690900																					
82.694000																					
83.487725																					
83.664275																					
83.964650																					
83.971250																					
83.982925																					
84.113600																					
84.403000																					
84.679200																					
84.685250																					
84.707150																					
84.728475																					
84.746075																					
84.748800																					
84.801250																					
84.973050																					
85.152600																					
85.165575																					
85.589225																					
86.385400																					
86.419350																					
86.445775																					
86.467025																					
86.471875																					
86.562125																					
86.575500																					
86.810800																					
87.096075																					
87.105350																					
87.272025																					
87.282875																					
87.289700																					
87.320175																					
87.506475																					
87.574500																					
87.578600																					
87.585350																					
87.610250																					
87.625675																					
87.633825																					
87.637875																					
87.643350																					
87.649475																					
87.652650																					
87.655075																					
87.693050																					
87.726150																					
