SPK14a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.355475	40.378100	80.408100	42.872100	40.378100	90.407100	310.515000	82.910100	82.910100	15.474100	60.389100	45.395100	15.474100	77.907100	22.874100	25.362100	22.874100	20.359100	92.908100	27.877100	20.359100	15.474100
0.550050	47.889100	122.926000	120.425000	42.872100	110.426000	343.048000	97.904100	90.407100	30.379100	155.459000	132.939000	30.379100	105.423000	283.006000	75.405100	25.362100	230.489000	207.969000	125.421000	27.877100	20.359100
0.795350	95.410100	305.519000	137.942000	47.889100	140.436000	540.665000	192.974000	97.904100	37.876100	225.486000	152.937000	37.876100	135.440000	293.019000	107.924000	75.405100	252.989000	285.501000	202.973000	92.908100	22.874100
0.992150	160.455000	490.628000	145.439000	80.408100	270.506000	620.691000	210.471000	110.426000	52.892100	258.005000	260.500000	45.395100	142.938000	420.580000	157.954000	77.907100	340.533000	318.034000	205.475000	125.421000	25.362100
1.273025	187.957000	555.659000	172.955000	95.410100	303.018000	633.212000	215.473000	140.436000	117.923000	295.520000	280.505000	52.892100	162.956000	445.602000	177.958000	105.423000	370.551000	460.617000	220.490000	202.973000	27.877100
1.307125	190.452000	668.226000	175.457000	120.425000	315.532000	635.706000	365.569000	192.974000	165.458000	363.053000	348.051000	60.389100	195.469000	485.632000	185.456000	107.924000	388.068000	470.616000	232.984000	205.475000	30.379100
1.778925	288.002000	805.786000	222.985000	122.926000	408.080000	638.208000	368.049000	210.471000	235.485000	623.192000	350.553000	117.923000	320.521000	578.180000	247.986000	135.440000	425.583000	733.257000	237.987000	207.969000	37.876100
1.812300	308.021000	838.305000	255.504000	137.942000	423.095000	735.758000	398.067000	215.473000	495.631000	640.709000	405.585000	132.939000	333.036000	583.176000	250.501000	142.938000	533.146000	775.775000	263.001000	220.490000	40.378100
2.806250	325.531000	843.308000	413.083000	145.439000	503.129000	743.256000	443.100000	270.506000	558.182000	693.240000	450.598000	152.937000	385.566000	588.192000	330.534000	157.954000	570.675000	788.275000	268.004000	230.489000	42.872100
3.644425	353.047000	935.855000	440.599000	160.455000	525.649000	758.272000	453.113000	303.018000	675.723000	778.269000	493.130000	155.459000	410.581000	673.229000	383.065000	162.956000	590.694000	800.790000	328.033000	232.984000	45.395100
