SPK09a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.853250	229.540000	86.942400	66.945400	66.945400	36.927400	31.910400	34.412400	31.910400	126.973000	224.523000	56.946400	56.946400	382.116000	91.959400	222.036000	91.959400	237.037000	144.490000	96.955400	96.955400	31.910400
2.944500	279.555000	116.960000	109.456000	86.942400	151.987000	334.602000	124.471000	34.412400	131.990000	444.645000	136.993000	126.973000	422.146000	174.508000	327.104000	174.508000	324.582000	242.040000	149.493000	144.490000	34.412400
4.380000	414.635000	119.475000	139.473000	109.456000	287.067000	429.651000	192.004000	36.927400	141.989000	577.230000	166.989000	131.990000	622.264000	209.521000	389.634000	209.521000	437.148000	282.071000	189.503000	149.493000	36.927400
5.152300	602.245000	319.586000	359.602000	116.960000	609.742000	434.647000	259.537000	124.471000	187.008000	614.745000	169.491000	136.993000	857.388000	234.522000	509.698000	222.036000	529.695000	322.087000	489.700000	189.503000	56.946400
7.017250	604.747000	459.661000	412.133000	119.475000	709.808000	514.694000	502.179000	151.987000	199.522000	707.307000	202.024000	141.989000	912.420000	239.539000	589.731000	234.522000	704.805000	352.098000	812.375000	237.037000	66.945400
8.952425	769.837000	512.178000	427.149000	139.473000	757.343000	549.714000	587.229000	192.004000	284.551000	829.872000	257.056000	166.989000	932.439000	252.039000	659.779000	239.539000	797.353000	472.183000	904.923000	242.040000	86.942400
9.805500	817.371000	519.697000	594.748000	229.540000	864.906000	554.710000	657.277000	259.537000	452.164000	909.919000	479.680000	169.491000	1025.000000	299.567000	669.792000	252.039000	837.369000	484.683000	962.450000	282.071000	91.959400
12.009100	919.939000	592.246000	617.261000	279.555000	894.917000	557.212000	667.290000	287.067000	679.791000	984.970000	504.681000	187.008000	1080.030000	409.632000	712.310000	299.567000	884.904000	774.840000	1110.050000	322.087000	96.955400
12.098975	959.948000	632.263000	634.757000	319.586000	969.954000	567.231000	777.341000	334.602000	714.811000	1027.480000	597.242000	199.522000	1082.530000	487.177000	862.405000	327.104000	899.906000	782.337000	1122.550000	324.582000	109.456000
12.101600	1456.000000	672.272000	684.794000	359.602000	982.468000	607.241000	827.370000	429.651000	882.403000	1087.530000	697.294000	202.024000	1325.940000	537.214000	977.466000	382.116000	1070.010000	802.356000	1323.440000	352.098000	116.960000
