SPK09a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.071150	46.869600	39.365600	16.851600	16.851600	49.384600	74.399600	21.868600	21.868600	31.867600	34.369600	36.870600	31.867600	71.884600	41.866600	51.886600	41.866600	144.434000	96.898600	11.848600	11.848600	11.848600
0.405175	81.883600	266.992000	59.383600	39.365600	334.525000	111.901000	121.914000	49.384600	89.401600	54.380600	131.913000	34.369600	106.898000	124.415000	129.418000	51.886600	196.965000	184.444000	56.882600	56.882600	16.851600
0.436425	84.398600	284.510000	149.430000	46.869600	349.541000	186.945000	206.964000	74.399600	214.461000	86.899600	191.962000	36.870600	251.997000	216.963000	359.540000	71.884600	294.508000	189.447000	126.917000	96.898600	21.868600
0.739850	136.930000	329.529000	344.545000	59.383600	412.071000	287.011000	221.966000	111.901000	226.976000	119.413000	201.961000	54.380600	264.498000	304.514000	397.076000	106.898000	447.105000	279.493000	146.929000	126.917000	31.867600
0.945500	236.982000	347.039000	382.060000	81.883600	444.604000	342.043000	249.482000	121.914000	289.512000	281.994000	219.464000	86.899600	299.511000	309.524000	409.576000	124.415000	492.125000	414.572000	194.450000	144.434000	34.369600
1.002375	297.010000	384.561000	387.056000	84.398600	452.108000	437.092000	307.009000	186.945000	379.559000	292.014000	354.544000	89.401600	417.088000	367.058000	507.140000	129.418000	529.654000	424.592000	224.481000	146.929000	36.870600
1.296000	394.574000	439.594000	407.075000	136.930000	524.658000	469.625000	374.556000	206.964000	389.578000	302.013000	429.588000	119.413000	467.110000	392.073000	732.266000	216.963000	534.657000	434.591000	276.998000	184.444000	39.365600
1.345825	442.088000	527.138000	484.620000	149.430000	697.252000	589.689000	377.057000	221.966000	432.089000	312.026000	494.640000	131.913000	542.154000	402.072000	752.285000	251.997000	582.185000	609.701000	322.025000	189.447000	41.866600
1.430325	532.141000	569.670000	619.700000	236.982000	707.251000	702.248000	399.577000	249.482000	479.624000	314.527000	537.151000	191.962000	547.157000	449.607000	784.797000	264.498000	622.201000	612.202000	332.044000	194.450000	46.869600
1.624025	539.653000	597.187000	709.753000	266.992000	712.247000	749.783000	557.156000	287.011000	489.623000	324.526000	564.667000	201.961000	607.199000	464.609000	814.815000	299.511000	627.204000	704.750000	404.573000	196.965000	49.384600
1.849375	549.672000	699.747000	717.264000	284.510000	729.764000	794.817000	567.169000	307.009000	579.669000	357.045000	617.205000	214.461000	714.749000	474.621000	822.333000	304.514000	719.766000	739.763000	472.120000	224.481000	51.886600
2.152000	834.833000	769.802000	779.801000	297.010000	737.283000	917.375000	594.685000	334.525000	744.780000	457.104000	757.281000	219.464000	727.263000	482.126000	867.345000	309.524000	764.785000	767.280000	477.123000	276.998000	54.380600
2.154275	839.829000	797.311000	789.800000	329.529000	742.286000	952.395000	604.684000	342.043000	747.282000	577.189000	774.798000	226.976000	827.315000	502.138000	874.850000	359.540000	804.816000	792.315000	487.122000	279.493000	56.882600
2.237200	934.878000	837.328000	807.317000	344.545000	829.830000	992.412000	852.344000	349.541000	754.779000	592.184000	777.299000	281.994000	847.327000	544.656000	937.380000	367.058000	812.313000	872.348000	519.641000	294.508000	59.383600
2.305000	944.877000	864.844000	862.349000	347.039000	844.832000	999.923000	947.392000	374.556000	887.364000	759.782000	787.298000	289.512000	897.363000	562.173000	942.376000	392.073000	842.331000	957.391000	559.671000	322.025000	71.884600
2.484325	1074.960000	884.863000	882.361000	382.060000	954.897000	1002.420000	962.394000	377.057000	982.413000	809.812000	824.827000	292.014000	949.880000	574.673000	979.912000	397.076000	939.874000	959.893000	572.172000	332.044000	74.399600
2.853350	1097.470000	899.878000	919.876000	384.561000	974.909000	1014.920000	967.411000	399.577000	1077.480000	869.847000	832.332000	302.013000	1089.980000	602.182000	1012.420000	402.072000	1069.960000	1109.990000	599.688000	404.573000	81.883600
2.857125	1183.120000	924.879000	932.377000	387.056000	977.410000	1072.460000	1004.930000	412.071000	1107.490000	894.862000	909.877000	312.026000	1130.010000	624.703000	1019.930000	409.576000	1165.620000	1150.600000	614.704000	414.572000	84.398600
2.895775	1203.140000	997.408000	964.896000	394.574000	1017.430000	1082.470000	1007.430000	437.092000	1168.120000	1009.920000	922.378000	314.527000	1163.100000	859.848000	1044.940000	417.088000	1280.690000	1198.140000	849.828000	424.592000	86.899600
