SPK14a	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
0.256175	43.300300	205.895000	28.284300	28.284300	65.799300	30.785300	93.315300	30.785300	25.782300	125.848000	48.303300	25.782300	60.803300	38.283300	35.781300	35.781300	55.800300	318.461000	145.846000	55.800300	25.782300
1.335225	85.818300	240.909000	108.331000	43.300300	70.816300	33.287300	105.829000	33.287300	88.312300	185.876000	110.832000	48.303300	193.381000	68.300300	138.348000	38.283300	178.365000	498.553000	175.863000	145.846000	28.284300
1.766550	90.814300	245.912000	168.366000	85.818300	123.333000	483.558000	355.976000	65.799300	358.478000	323.443000	133.345000	88.312300	228.394000	128.349000	225.893000	60.803300	275.929000	518.572000	233.397000	175.863000	30.785300
1.800950	443.521000	255.911000	220.897000	90.814300	198.377000	486.053000	375.988000	70.816300	373.494000	561.104000	155.866000	110.832000	273.428000	300.944000	453.541000	68.300300	360.972000	678.666000	335.958000	178.365000	33.287300
1.815125	493.557000	385.994000	353.475000	108.331000	230.896000	631.138000	563.584000	93.315300	378.490000	578.600000	313.444000	125.848000	293.447000	448.524000	593.616000	128.349000	466.041000	748.700000	616.136000	233.397000	35.781300
2.169600	601.120000	468.536000	438.525000	168.366000	280.925000	658.647000	603.622000	105.829000	436.023000	613.621000	343.476000	133.345000	521.073000	573.604000	663.650000	138.348000	598.619000	908.794000	621.132000	275.929000	38.283300
2.559750	618.638000	711.185000	546.088000	205.895000	295.941000	743.697000	651.150000	123.333000	596.118000	768.712000	345.957000	155.866000	586.105000	661.149000	786.229000	193.381000	606.116000	911.310000	633.633000	318.461000	43.300300
2.579825	833.743000	836.266000	641.137000	220.897000	350.973000	1001.360000	656.153000	198.377000	731.197000	771.214000	576.106000	185.876000	713.680000	803.733000	1056.390000	225.893000	638.636000	961.325000	868.778000	335.958000	48.303300
3.367825	856.264000	1128.920000	741.196000	240.909000	390.990000	1043.870000	708.684000	230.896000	781.233000	851.261000	701.186000	313.444000	858.779000	998.861000	1068.890000	228.394000	676.165000	1078.910000	1013.860000	360.972000	55.800300
3.941225	871.279000	1233.440000	873.781000	245.912000	738.701000	1088.910000	861.280000	280.925000	831.249000	976.341000	753.717000	323.443000	883.780000	1175.890000	1081.400000	273.428000	783.714000	1098.910000	1033.880000	466.041000	60.803300
4.658375	1061.390000	1298.470000	1101.410000	255.911000	758.713000	1320.980000	1046.380000	295.941000	853.762000	1051.370000	766.218000	343.476000	913.797000	1205.920000	1173.390000	293.447000	806.227000	1121.420000	1063.890000	498.553000	65.799300
4.682075	1195.900000	1378.520000	1131.440000	353.475000	1003.860000	1551.110000	1210.920000	350.973000	896.294000	1058.890000	823.744000	345.957000	1278.450000	1215.920000	1275.950000	300.944000	848.766000	1235.940000	1133.940000	518.572000	68.300300
4.954175	1223.420000	1381.020000	1245.940000	385.994000	1203.420000	1571.130000	1230.920000	355.976000	1091.410000	1346.000000	876.275000	358.478000	1338.490000	1386.010000	1318.490000	448.524000	1048.880000	1423.540000	1178.400000	598.619000	70.816300
6.056650	1228.420000	1383.520000	1280.950000	438.525000	1208.420000	1613.650000	1238.430000	375.988000	1225.920000	1436.050000	878.777000	373.494000	1356.000000	1396.030000	1353.500000	453.541000	1066.390000	1456.050000	1213.420000	606.116000	85.818300
6.809500	1351.000000	1398.510000	1305.970000	443.521000	1218.420000	1621.160000	1243.440000	390.990000	1240.930000	1453.570000	898.795000	378.490000	1366.000000	1438.550000	1591.140000	521.073000	1193.410000	1588.650000	1371.000000	616.136000	88.312300
7.922625	1421.050000	1448.550000	1373.510000	468.536000	1300.970000	1623.660000	1303.460000	483.558000	1308.470000	1568.630000	1248.440000	436.023000	1411.030000	1468.560000	1611.150000	573.604000	1220.920000	1626.160000	1388.510000	621.132000	90.814300
8.044350	1526.100000	1523.590000	1401.030000	493.557000	1368.500000	1638.680000	1441.050000	486.053000	1408.530000	1628.660000	1268.450000	561.104000	1416.030000	1586.130000	1616.160000	586.105000	1250.930000	1636.160000	1566.130000	633.633000	93.315300
8.200425	1581.130000	1548.610000	1491.080000	546.088000	1418.530000		1466.060000	563.584000	1511.090000		1270.950000	576.106000	1486.080000	1633.660000		593.616000	1413.530000	1656.180000	1583.630000	638.636000	105.829000
8.210400	1641.160000	1601.150000	1578.630000	601.120000	1471.060000		1493.580000	603.622000	1546.110000		1273.450000	578.600000	1618.660000	1661.170000		661.149000	1521.090000			676.165000	108.331000
8.232375	1663.680000	1606.140000	1598.640000	618.638000	1488.580000		1508.600000	631.138000			1341.000000	596.118000	1658.670000			663.650000	1553.610000			678.666000	110.832000
8.264600	1668.670000		1608.640000	641.137000	1536.120000		1533.590000	651.150000			1376.010000	613.621000	1693.690000			713.680000	1603.640000			748.700000	123.333000
8.571325	1681.190000		1646.170000	711.185000	1671.190000			656.153000			1451.070000	701.186000				786.229000	1648.670000			783.714000	125.848000
8.892975			1666.180000	741.196000	1678.680000			658.647000			1481.060000	731.197000				803.733000	1696.210000			806.227000	128.349000
8.933825			1683.690000	833.743000				708.684000			1483.580000	753.717000				858.779000				848.766000	133.345000
9.043100			1691.190000	836.266000				738.701000			1596.140000	766.218000				883.780000				868.778000	138.348000
9.209225				856.264000				743.697000				768.712000				913.797000				908.794000	145.846000
9.481800				871.279000				758.713000				771.214000				998.861000				911.310000	155.866000
9.836650				873.781000				861.280000				781.233000				1056.390000				961.325000	168.366000
10.529950				1061.390000				1001.360000				823.744000				1068.890000				1013.860000	175.863000
11.021850				1101.410000				1003.860000				831.249000				1081.400000				1033.880000	178.365000
11.069625				1128.920000				1043.870000				851.261000				1173.390000				1048.880000	185.876000
11.298675				1131.440000				1046.380000				853.762000				1175.890000				1063.890000	193.381000
11.925950				1195.900000				1088.910000				876.275000				1205.920000				1066.390000	198.377000
12.047625				1223.420000				1203.420000				878.777000				1215.920000				1078.910000	205.895000
12.230250				1228.420000				1208.420000				896.294000				1275.950000				1098.910000	220.897000
12.302025				1233.440000				1210.920000				898.795000				1278.450000				1121.420000	225.893000
12.969875				1245.940000				1218.420000				976.341000				1318.490000				1133.940000	228.394000
13.633875				1280.950000				1230.920000				1051.370000				1338.490000				1178.400000	230.896000
13.637125				1298.470000				1238.430000				1058.890000				1353.500000				1193.410000	233.397000
13.642975				1305.970000				1243.440000				1091.410000				1356.000000				1213.420000	240.909000
13.713575				1351.000000				1300.970000				1225.920000				1366.000000				1220.920000	245.912000
13.741000				1373.510000				1303.460000				1240.930000				1386.010000				1235.940000	255.911000
13.837400				1378.520000				1320.980000				1248.440000				1396.030000				1250.930000	273.428000
13.917850				1381.020000				1368.500000				1268.450000				1411.030000				1371.000000	275.929000
13.952000				1383.520000				1418.530000				1270.950000				1416.030000				1388.510000	280.925000
14.022325				1398.510000				1441.050000				1273.450000				1438.550000				1413.530000	293.447000
14.461200				1401.030000				1466.060000				1308.470000				1468.560000				1423.540000	295.941000
14.842775				1421.050000				1471.060000				1341.000000				1486.080000				1456.050000	300.944000
14.925500				1448.550000				1488.580000				1346.000000				1586.130000				1521.090000	313.444000
14.980525				1491.080000				1493.580000				1376.010000				1591.140000				1553.610000	318.461000
15.195900				1523.590000				1508.600000				1408.530000				1611.150000				1566.130000	323.443000
15.392825				1526.100000				1533.590000				1436.050000				1616.160000				1583.630000	335.958000
15.880275				1548.610000				1536.120000				1451.070000				1618.660000				1588.650000	343.476000
